hanzi,pinyin,definition
的,de,"possessive, adjectival suffix"
一,yī,"one; a, an; alone"
是,shì,"indeed, yes, right; to be; demonstrative pronoun, this, that"
不,bù,"no, not; un-; negative prefix"
了,le,to finish; particle of completed action
在,zài,"be at, in, on; consist in, rest"
人,rén,man; people; mankind; someone else
有,yǒu,"have, own, possess; exist"
我,wǒ,"our, us, i, me, my, we"
他,tā,"other, another; he, she, it"
这,zhè,"this, the, here"
个,gè,"numerary adjunct, piece; single"
们,men,adjunct pronoun indicate plural
中,zhōng,"central; center, middle; in the midst of; hit (target); attain"
来,lái,"come, coming; return, returning"
上,shàng,"top; superior, highest; go up, send up"
大,dà,"big, great, vast, large, high"
为,wèi,"do, handle, govern, act; be"
和,hé,"harmony, peace; peaceful, calm"
国,guó,"nation, country, nation-state"
地,de,"earth; soil, ground; region"
到,dào,"go to, arrive, been to"
以,yǐ,"by means of; thereby, therefore; consider as; in order to"
说,shuō,"speak, say, talk; scold, upbraid"
时,shí,"time, season; era, age, period"
要,yào,"necessary, essential; necessity"
就,jiù,"just, simply; to come, go to; to approach, near"
出,chū,"go out, send out; stand; produce"
会,huì,"assemble, meet together; meeting"
可,kě,"may, can, -able; possibly"
也,yě,also; classical final particle of strong affirmation or identity
你,nǐ,"you, second person pronoun"
对,duì,"correct, right; facing, opposed"
生,shēng,"life, living, lifetime; birth"
能,néng,"to be able; can, permitted to; ability"
而,ér,and; and then; and yet; but
子,zi,"offspring, child; fruit, seed of; 1st terrestrial branch"
那,nà,"that, that one, those"
得,dé,"obtain, get, gain, acquire"
于,yú,"in, on, at; go to; surname"
着,zhe,"make move, take action"
下,xià,"under, underneath, below; down; inferior; bring down"
自,zì,"self, private, personal; from"
之,zhī,"marks preceding phrase as modifier of following phrase; it, him her, them; go to"
年,nián,
过,guò,"pass, pass through, go across"
发,fā,"issue, dispatch, send out; hair"
后,hòu,"queen, empress, sovereign; (simp. for 後) behind, rear, after"
作,zuò,"make; work; compose, write; act, perform"
里,lǐ,unit of distance; village; lane
用,yòng,"use, employ, apply, operate; use"
道,dào,"path, road, street; method, way"
行,xíng,"go; walk; move, travel; circulate"
所,suǒ,"place, location; numerary adjunct"
然,rán,"yes, certainly; pledge, promise"
家,jiā,"house, home, residence; family"
种,zhǒng,"seed; race, breed; to plant"
事,shì,"affair, matter, business; to serve; accident, incident"
成,chéng,"completed, finished, fixed"
方,fāng,"a square, rectangle; a region; local"
多,duō,"much, many; more than, over"
经,jīng,classic works; pass through
么,me,interrogative particle; repetition of a tune small; tender
去,qù,"go away, leave, depart"
法,fǎ,"law, rule, regulation, statute; France, French"
学,xué,"learning, knowledge; school"
如,rú,"if, supposing; as if; like, as"
都,dōu,"metropolis, capital; all, the whole; elegant, refined"
同,tóng,"same, similar; together with"
现,xiàn,"appear, manifest, become visible"
当,dāng,"bear, accept, undertake; just"
没,méi,"not, have not, none; drown, sink"
动,dòng,"move, happen; movement, action"
面,miàn,"face; surface; plane; side, dimension"
起,qǐ,"rise, stand up; go up; begin"
看,kàn,"look, see; examine, scrutinize"
定,dìng,"decide, settle, fix"
天,tiān,"sky, heaven; god, celestial"
分,fēn,divide; small unit of time etc.
还,hái,"still, yet, also, besides"
进,jìn,"advance, make progress, enter"
好,hǎo,"good, excellent, fine; well"
小,xiǎo,"small, tiny, insignificant"
部,bù,"part, division, section"
其,qí,"his, her, its, their; that"
些,xiē,"little, few; rather, somewhat"
主,zhǔ,"master, chief owner; host; lord"
样,yàng,"shape, form, pattern, style"
理,lǐ,"reason, logic; manage"
心,xīn,"heart; mind, intelligence; soul"
